Index,Date,Open,High,Low,Close,Adj Close,Volume,DayOfWeek,Earnings
4529,2018-01-02,2683.72998,2695.889893,2682.360107,2695.810059,2695.810059,3367250000,Tuesday,0
4530,2018-01-03,2697.850098,2714.3701170000004,2697.77002,2713.060059,2713.060059,3538660000,Wednesday,0
4531,2018-01-04,2719.310059,2729.290039,2719.070068,2723.98999,2723.98999,3695260000,Thursday,1
4532,2018-01-05,2731.330078,2743.449951,2727.919922,2743.149902,2743.149902,3236620000,Friday,1
4533,2018-01-08,2742.669922,2748.51001,2737.600098,2747.709961,2747.709961,3242650000,Monday,0
4534,2018-01-09,2751.149902,2759.139893,2747.860107,2751.290039,2751.290039,3453480000,Tuesday,3
4535,2018-01-10,2745.550049,2750.800049,2736.060059,2748.22998,2748.22998,3576350000,Wednesday,1
4536,2018-01-11,2752.969971,2767.560059,2752.780029,2767.560059,2767.560059,3641320000,Thursday,2
4537,2018-01-12,2770.179932,2787.850098,2769.639893,2786.23999,2786.23999,3573970000,Friday,4
4538,2018-01-16,2798.959961,2807.540039,2768.639893,2776.419922,2776.419922,4325970000,Tuesday,4
4539,2018-01-17,2784.98999,2807.040039,2778.3798829999996,2802.560059,2802.560059,3778050000,Wednesday,6
4540,2018-01-18,2802.399902,2805.830078,2792.560059,2798.030029,2798.030029,3681470000,Thursday,8
4541,2018-01-19,2802.600098,2810.330078,2798.080078,2810.300049,2810.300049,3639430000,Friday,9
4542,2018-01-22,2809.159912,2833.030029,2808.1201170000004,2832.969971,2832.969971,3471780000,Monday,3
4543,2018-01-23,2835.050049,2842.23999,2830.590088,2839.1298829999996,2839.1298829999996,3519650000,Tuesday,14
4544,2018-01-24,2845.419922,2852.969971,2824.810059,2837.540039,2837.540039,4014070000,Wednesday,22
4545,2018-01-25,2846.23999,2848.560059,2830.939941,2839.25,2839.25,3835150000,Thursday,27
4546,2018-01-26,2847.47998,2872.8701170000004,2846.179932,2872.8701170000004,2872.8701170000004,3443230000,Friday,10
4547,2018-01-29,2867.22998,2870.6201170000004,2851.47998,2853.530029,2853.530029,3573830000,Monday,5
4548,2018-01-30,2832.73999,2837.75,2818.27002,2822.429932,2822.429932,3990650000,Tuesday,15
4549,2018-01-31,2832.409912,2839.26001,2813.040039,2823.810059,2823.810059,4261280000,Wednesday,24
4550,2018-02-01,2816.449951,2835.959961,2812.699951,2821.97998,2821.97998,3938450000,Thursday,36
4551,2018-02-02,2808.919922,2808.919922,2759.969971,2762.1298829999996,2762.1298829999996,4301130000,Friday,19
4552,2018-02-05,2741.060059,2763.389893,2638.169922,2648.939941,2648.939941,5283460000,Monday,6
4553,2018-02-06,2614.780029,2701.040039,2593.070068,2695.139893,2695.139893,5891660000,Tuesday,18
4554,2018-02-07,2690.949951,2727.669922,2681.330078,2681.659912,2681.659912,4626570000,Wednesday,15
4555,2018-02-08,2685.01001,2685.27002,2580.560059,2581.0,2581.0,5305440000,Thursday,20
4556,2018-02-09,2601.780029,2638.669922,2532.689941,2619.550049,2619.550049,5680070000,Friday,11
4557,2018-02-12,2636.75,2672.610107,2622.449951,2656.0,2656.0,4055790000,Monday,1
4558,2018-02-13,2646.27002,2668.840088,2637.080078,2662.939941,2662.939941,3472870000,Tuesday,8
4559,2018-02-14,2651.209961,2702.100098,2648.8701170000004,2698.6298829999996,2698.6298829999996,4003740000,Wednesday,14
4560,2018-02-15,2713.459961,2731.51001,2689.820068,2731.199951,2731.199951,3684910000,Thursday,18
4561,2018-02-16,2727.139893,2754.419922,2725.110107,2732.219971,2732.219971,3637460000,Friday,16
4562,2018-02-20,2722.98999,2737.600098,2706.76001,2716.26001,2716.26001,3627610000,Tuesday,8
4563,2018-02-21,2720.530029,2747.75,2701.290039,2701.330078,2701.330078,3779400000,Wednesday,12
4564,2018-02-22,2710.419922,2731.26001,2697.77002,2703.959961,2703.959961,3701270000,Thursday,11
4565,2018-02-23,2715.800049,2747.76001,2713.73999,2747.300049,2747.300049,3189190000,Friday,7
4566,2018-02-26,2757.3701170000004,2780.639893,2753.780029,2779.600098,2779.600098,3424650000,Monday,0
4567,2018-02-27,2780.449951,2789.149902,2744.219971,2744.280029,2744.280029,3745080000,Tuesday,7
4568,2018-02-28,2753.780029,2761.52002,2713.540039,2713.830078,2713.830078,4230660000,Wednesday,5
4569,2018-03-01,2715.219971,2730.889893,2659.649902,2677.669922,2677.669922,4503970000,Thursday,6
4570,2018-03-02,2658.889893,2696.25,2647.320068,2691.25,2691.25,3882450000,Friday,4
4571,2018-03-05,2681.060059,2728.090088,2675.75,2720.939941,2720.939941,3710810000,Monday,0
4572,2018-03-06,2730.179932,2732.080078,2711.26001,2728.1201170000004,2728.1201170000004,3370690000,Tuesday,1
4573,2018-03-07,2710.179932,2730.600098,2701.73999,2726.800049,2726.800049,3393270000,Wednesday,5
4574,2018-03-08,2732.75,2740.449951,2722.649902,2738.969971,2738.969971,3212320000,Thursday,2
4575,2018-03-09,2752.909912,2786.570068,2751.540039,2786.570068,2786.570068,3364100000,Friday,0
4576,2018-03-12,2790.540039,2796.97998,2779.26001,2783.02002,2783.02002,3185020000,Monday,0
4577,2018-03-13,2792.310059,2801.899902,2758.679932,2765.310059,2765.310059,3301650000,Tuesday,0
4578,2018-03-14,2774.060059,2777.110107,2744.3798829999996,2749.47998,2749.47998,3391360000,Wednesday,1
4579,2018-03-15,2754.27002,2763.030029,2741.469971,2747.330078,2747.330078,3500330000,Thursday,2
4580,2018-03-16,2750.570068,2761.850098,2749.969971,2752.01001,2752.01001,5372340000,Friday,3
4581,2018-03-19,2741.3798829999996,2741.3798829999996,2694.590088,2712.919922,2712.919922,3302130000,Monday,0
4582,2018-03-20,2715.050049,2724.219971,2710.050049,2716.939941,2716.939941,3261030000,Tuesday,1
4583,2018-03-21,2714.98999,2739.139893,2709.790039,2711.929932,2711.929932,3415510000,Wednesday,2
4584,2018-03-22,2691.360107,2695.679932,2641.590088,2643.689941,2643.689941,3739800000,Thursday,4
4585,2018-03-23,2646.709961,2657.669922,2585.889893,2588.26001,2588.26001,3815080000,Friday,2
4586,2018-03-26,2619.350098,2661.360107,2601.810059,2658.550049,2658.550049,3511100000,Monday,1
4587,2018-03-27,2667.570068,2674.780029,2596.1201170000004,2612.6201170000004,2612.6201170000004,3706350000,Tuesday,3
4588,2018-03-28,2611.300049,2632.649902,2593.060059,2605.0,2605.0,3864500000,Wednesday,1
4589,2018-03-29,2614.409912,2659.070068,2609.719971,2640.8701170000004,2640.8701170000004,3565990000,Thursday,2
4590,2018-04-02,2633.449951,2638.300049,2553.800049,2581.8798829999996,2581.8798829999996,3598520000,Monday,0
4591,2018-04-03,2592.169922,2619.139893,2575.48999,2614.449951,2614.449951,3392810000,Tuesday,0
4592,2018-04-04,2584.040039,2649.860107,2573.610107,2644.689941,2644.689941,3350340000,Wednesday,3
4593,2018-04-05,2657.360107,2672.080078,2649.580078,2662.840088,2662.840088,3178970000,Thursday,0
4594,2018-04-06,2645.820068,2656.8798829999996,2586.27002,2604.469971,2604.469971,3299700000,Friday,0
4595,2018-04-09,2617.179932,2653.550049,2610.790039,2613.159912,2613.159912,3062960000,Monday,0
4596,2018-04-10,2638.409912,2665.449951,2635.780029,2656.8701170000004,2656.8701170000004,3543930000,Tuesday,0
4597,2018-04-11,2643.889893,2661.429932,2639.25,2642.189941,2642.189941,3020760000,Wednesday,1
4598,2018-04-12,2653.830078,2674.719971,2653.830078,2663.98999,2663.98999,3021320000,Thursday,2
4599,2018-04-13,2676.899902,2680.26001,2645.050049,2656.300049,2656.300049,2960910000,Friday,4
4600,2018-04-16,2670.100098,2686.48999,2665.159912,2677.840088,2677.840088,3019700000,Monday,5
4601,2018-04-17,2692.73999,2713.340088,2692.050049,2706.389893,2706.389893,3234360000,Tuesday,8
4602,2018-04-18,2710.110107,2717.48999,2703.6298829999996,2708.639893,2708.639893,3383410000,Wednesday,9
4603,2018-04-19,2701.159912,2702.840088,2681.899902,2693.1298829999996,2693.1298829999996,3349370000,Thursday,22
4604,2018-04-20,2692.560059,2693.939941,2660.610107,2670.139893,2670.139893,3388590000,Friday,14
4605,2018-04-23,2675.399902,2682.860107,2657.98999,2670.290039,2670.290039,3017480000,Monday,10
4606,2018-04-24,2680.800049,2683.550049,2617.320068,2634.560059,2634.560059,3706740000,Tuesday,29
4607,2018-04-25,2634.919922,2645.300049,2612.669922,2639.399902,2639.399902,3499440000,Wednesday,23
4608,2018-04-26,2651.649902,2676.47998,2647.159912,2666.939941,2666.939941,3665720000,Thursday,15
4609,2018-04-27,2675.469971,2677.350098,2659.01001,2669.909912,2669.909912,3219030000,Friday,15
4610,2018-04-30,2682.51001,2682.8701170000004,2648.040039,2648.050049,2648.050049,3734530000,Monday,13
4611,2018-05-01,2642.959961,2655.27002,2625.409912,2654.800049,2654.800049,3559850000,Tuesday,21
4612,2018-05-02,2654.23999,2660.8701170000004,2631.699951,2635.669922,2635.669922,4010770000,Wednesday,18
4613,2018-05-03,2628.080078,2637.139893,2594.6201170000004,2629.72998,2629.72998,3851470000,Thursday,5
4614,2018-05-04,2621.449951,2670.929932,2615.320068,2663.419922,2663.419922,3327220000,Friday,7
4615,2018-05-07,2680.340088,2683.350098,2664.699951,2672.6298829999996,2672.6298829999996,3237960000,Monday,9
4616,2018-05-08,2670.26001,2676.340088,2655.199951,2671.919922,2671.919922,3717570000,Tuesday,5
4617,2018-05-09,2678.1201170000004,2701.27002,2674.139893,2697.790039,2697.790039,3909500000,Wednesday,3
4618,2018-05-10,2705.02002,2726.110107,2704.540039,2723.070068,2723.070068,3333050000,Thursday,3
4619,2018-05-11,2722.699951,2732.860107,2717.449951,2727.719971,2727.719971,2862700000,Friday,0
4620,2018-05-14,2738.469971,2742.100098,2725.469971,2730.1298829999996,2730.1298829999996,2972660000,Monday,1
4621,2018-05-15,2718.590088,2718.590088,2701.909912,2711.449951,2711.449951,3290680000,Tuesday,1
4622,2018-05-16,2712.6201170000004,2727.76001,2712.169922,2722.459961,2722.459961,3202670000,Wednesday,4
4623,2018-05-17,2719.709961,2731.959961,2711.360107,2720.1298829999996,2720.1298829999996,3475400000,Thursday,3
4624,2018-05-18,2717.350098,2719.5,2709.179932,2712.969971,2712.969971,3368690000,Friday,2
4625,2018-05-21,2735.389893,2739.189941,2725.699951,2733.01001,2733.01001,3019890000,Monday,0
4626,2018-05-22,2738.340088,2742.23999,2721.8798829999996,2724.439941,2724.439941,3366310000,Tuesday,6
4627,2018-05-23,2713.97998,2733.330078,2709.540039,2733.290039,2733.290039,3326290000,Wednesday,7
4628,2018-05-24,2730.939941,2731.969971,2707.3798829999996,2727.76001,2727.76001,3256030000,Thursday,8
4629,2018-05-25,2723.600098,2727.360107,2714.98999,2721.330078,2721.330078,2995260000,Friday,1
4630,2018-05-29,2705.110107,2710.669922,2676.810059,2689.860107,2689.860107,3736890000,Tuesday,2
4631,2018-05-30,2702.429932,2729.340088,2702.429932,2724.01001,2724.01001,3561050000,Wednesday,3
